test,pvalue_lcg,pvalue_mt
approximate_entropy,0.0,0.0
block_frequency,0.9178145352856613,0.5151448461846571
cumulative_sums,,
frequency,0.6198944109453393,0.6599371073211873
linear_complexity,0.0,0.0
longest_run_of_ones,0.30414799202263537,0.7459484266836682
non_overlapping_template,0.3905333321037412,0.0
overlapping_template,,
random_excursions,,
random_excursions_variant,,
rank,0.6951507963823045,0.2343871046651896
runs,0.7280248863206344,0.18689957893751302
serial,0.0,0.0
spectral,,
universal,0.009844484901696761,0.009687419169858644
